Ref,Programtittel,Lengde,Prod_dato,Arkivert,Format,Opptaksted,Innhold,Produsent_Regi,Oppdragsgiver,Emne,Personer,Rettigheter,Lyd,Foto,Arkivert_Billy
100.0,Dr.grad presentasjon,,25.01.11,29.03.11,HD,Bergen,"Dr.grad presentasjon. UiB, Universitetet i Bergen, Gard Buen Jenset, doktorpromosjon, Håkonshallen, tale, rekordmange doktorer",May-Britt Skjelvik,UiB,Dokttorpromosjon,Gard Buen Jenset,Univisjon,Frode Ims,Frode Ims,
101.0,Klem en professor,,arkiv,29.03.11,HD,Bergen,"Klem en professor. UiB, Universitetet i Bergen, Klem en professor, Student, professor, klem, Tine Blomfeldt",Arnt Brandseth,UiB,Klem en professor,"Tine Blomfeldt, Sigmund Grønmo",Univisjon,Frode Ims,Frode Ims,
102.0,Eksternweblansering 2009,,arkiv,30.03.11,SD,Bergen,Eksternweblansering 2009,Arnt Brandseth,UiB,Eksternweblansering 2009,,Univisjon,Brian Holmedal,Brian Holmedal,
103.0,Klem en professor,,arkiv,05.04.11,HD,Bergen,Uni foredrag Bergen Næringsråd,Frode Ims,Uni,Uni foredrag Bergen Næringsråd,"Ole Andreas Brekke, Alla Sapronova, Kjersti Mézeth, Silje Mæland, Kristine Spildo, Richard Bellerby",Uni,Frode Ims,Frode Ims,
104.0,MUPS,,arkiv,06.04.11,HD,Bergen,MUPS. Medisinsk uforklarte plager og sykdommer (MUPS) - fra usikkerhet til mestring,Arnt Brandseth,Uni,MUPS,"Peter Prydz, Kirsti Malterud",Uni,Frode Ims,"Frode Ims, Arnt Brandseth",
105.0,Tøff som en Kutling,,arkiv,31.05.11,HD,Bergen,"Kutlingen/The Bearded Goby of Namibia. UiB, University of Bergen, Anne Christine Utne Palm, Mark Gibbons, University of the Western Cape, kutling, goby, Namibia, Institutt for biologi,",Arnt Brandseth,UiB,Kutlingen/The Bearded Goby of Namibia,,Uni,Frode Ims,"Frode Ims, Arnt Brandseth, Kim Andreassen",
106.0,Fiskedressur,,arkiv,31.05.11,HD,"Bergen, Marineholmen, Matre","Fiskedressur. Forskere ved UiB viser at oppdrettsfisk kan lære seg ny adferd.  Dette er kunnskap som fiskeoppdrettere kan ha nytte av. Anders Fernø, Ole Folkedal, dressur, Matre, laks, Havforskningsinstituttet, Institutt for biologi, Universitetet i Bergen, UiB","Arnt Brandseth, Gudrun Sylte",UiB,Fiskedressur,"Anders Fernø, Ole Folkedal",UiB,Frode Ims,Frode Ims,
107.0,Disputerer med blokkfløyte,,arkiv,31.05.11,HD,"Bergen, Haakonshallen","Disputerer med blokkfløyte. Jostein Gundersens forskning på blokkfløyte er en parallell til den akademiske doktorgraden. - Jo lenger jeg holder på, jo gladere blir jeg i blokkfløyten, sier han. Jostein Gundersen, Griegakademiet, University of Bergen, UiB, blokkfløyte, doktorgrad, forskning","Arnt Brandseth, Walter Wehus",UiB,Disputerer med blokkfløyte,Jostein Gundersen,UiB,Frode Ims,Frode Ims,
108.0,Fordøyelse en fornøyelse,,arkiv,31.05.11,HD,"Bergen, Vil Vite Senteret",Fordøyelse en fornøyelse. VilVite ble nærmest omgjort til en fordøyelsespark da ”Ernæringsopplevelsen” åpnet.,Kim Andreassen,UiB - På Høyden,Fordøyelse en fornøyelse,Mette H. Morken,UiB,Frode Ims,Frode Ims,
109.0,Internasjonal uke,,arkiv,31.05.11,HD,"Bergen, Kvarteret","Internasjonal uke. For andre gang arrangerer UiB internasjonal uke, der utveksling og muligheter for internasjonal erfaring settes i fokus. Universitetet i Bergen, UiB, Internasjonal, studenter, utveksling, Astri Andresen, Christian Bode",Arnt Brandseth,UiB,Internasjonal uke,"Astri Andresen, Christian Bode",UiB,Frode Ims,Frode Ims,
110.0,Å skape en klode,,arkiv,31.05.11,SD,"Bergen, HF, Forskningsdagene",Å skape en klode. Hvor mange filosofer må til for å skape en jordklode? Forberedelsene til Forskningstorget i Bergen foregikk ikke uten komplikasjoner.,"Frode Ims, Arnt Brandseth",UiB,Å skape en klode,Egil H Olsvik,UiB,Frode Ims,Frode Ims,
111.0,"På Høyden videoer, København, klimamøte, sudan",,arkiv,31.05.11,SD,"Bergen, CMI",På Høyden videoer. -Klimamøtet i København enquete. -Åpning av sudanesisk bibliotek CMI,"Frode Ims, Olav Røli",UiB,"På Høyden videoer, København, klimamøte, sudan","Eystein Jansen, Tore Furevik, Helge Drange",UiB,Frode Ims,Frode Ims,
112.0,Simulering løser gammelt værmysterium,,arkiv,16.06.11,SD,"Bergen, Geofysisk Inst","Simulering løser gammelt værmysterium. Det er snart 60 år siden 79 mennesker forsvant sporløst i Vestisen. Ved hjelp av gamle værkart, moderne simuleringsverktøy og ny viten om hvordan ekstremvær i arktiske strøk oppstår, kan vi få vite hva som gjorde at fem skuter kunne forlise samtidig.",Arnt Brandseth,UiB,Simulering løser gammelt værmysterium,"Sigbjørn Grønås, Idar Barstad",UiB,Frode Ims,Frode Ims + arkiv,
113.0,Kreativ på eldre dager,,arkiv,16.06.11,SD,Bergen,Kreativ på eldre dager. Mange eldre er offer for tidligere tiders ”rødblyantspedagogikk”. Gjennom skrivekurs kan de finne fram til sin verbale kreativitet og få ordet i sin makt.,May-Britt Skjelvik,UiB,Kreativ på eldre dager,"Ragna Ådlandsvik, Oddgeir Synnes, Odd Sætre",UiB,Frode Ims,Frode Ims,
114.0,Vitenskapshvelvet 1-3,,arkiv,16.06.11,HD,Bergen,Vitenskapshvelvet 1-3,"May-Britt Skjelvik, Arnt Brandseth",UiB,Vitenskapshvelvet 1-3,,UiB,Frode Ims,Frode Ims,
115.0,"Lærum multimedia, Konrad Birkhaug",,arkiv,16.06.11,HD,"Bergen, Voss","Lærum multimedia, Konrad Birkhaug. Konrad Birkhaug var en pioner innen vaksineforskning.  Han produserte den første effektive vaksinen mot sykdommen rosen.  Senere arbeidet han \ved Institut Pasteur sammen med Calmette og Guérin, oppfinnerne av BCG vaksinen mot tuberkulose. Universitetet i Bergen, UiB, Konrad Birkhaug, Ole Didrik Lærum, BCG, Calmette, Guérin, tuberkulose, rosen, vaksine, Institut Pasteur","Arnt Brandseth, Walter Wehus",UiB,"Lærum multimedia, Konrad Birkhaug","Ole Didrik Lærum, Konrad Birkhaug",UiB,Frode Ims,Frode Ims,
116.0,"Medisinsk Historie, Dr. Hansen og historien",,arkiv,16.06.11,SD,"Bergen, Lepramuseet","Medisinsk Historie, Dr. Hansen og historien. Når historien møter medisinen er det duket for tverrfaglighet som kan bidra til å løse framtidige helseproblemer. Historien om Armauer Hansens oppdagelse av leprabasillen er et medisinsk-historisk høydepunkt.",May-Britt Skjelvik,UiB,"Medisinsk Historie, Dr. Hansen og historien","Sigurd Sandmo, Lorentz Irgens, Armauer Hansen",UiB,"Frode Ims, Arnt Brandseth","Frode Ims, Arnt Brandseth",
117.0,"Fastleger under lupen, sykemelding",,arkiv,16.06.11,SD,Bergen,"Fastleger under lupen, sykemelding. Mange går til legen med plager som ikke lar seg påvise av verken blodprøver eller røntgen, såkalte subjektive helseplager. Hvorvidt de blir sykemeldte - og hvilken diagnose de får, kan henge sammen med hvilken fastlege de har.",Arnt Brandseth,UiB,"Fastleger under lupen, sykemelding","Erik L. Werner, Holger Ursin",UiB,Frode Ims,Frode Ims,
118.0,"Nansens Makkverk, Willassen og Nansen",,arkiv,16.06.11,HD,Bergen,"Nansens Makkverk, Willassen og Nansen. Da den unge Fridtjof Nansen ble tilsatt som konservator ved Bergens Museum i 1882 fikk han blant annet arbeide med zoologiske prøver som var samlet under de treårige toktene med skipet ”Vøringen”. Dette prosjektet gikk under navnet ”Den Norske Nordhavs-Expedition” og var et pionértiltak i utforskingen av arktisk dyphav. Det var i dette materialet at Nansen fant noen av de dyrene som han studerte under arbeidet med sin første zoologiske avhandling. Den fikk tittelen ”Bidrag til myzostomernes anatomi og histologi” og ble publisert i Bergens Museums Skrifter i 1885. UiB, University of Bergen, Fridtjof Nansen, Bergens Museum, myzostomer, Endre Willassen, ",Arnt Brandseth,UiB,"Nansens Makkverk, Willassen og Nansen","Endre Willassen, Fridtjof Nansen ",UiB,Frode Ims,Frode Ims,
119.0,Eldre & Helse 2007,,arkiv,20.06.11,SD,Bergen,Eldre & Helse 2007,Arnt Brandseth,,Eldre & Helse 2007,,Univisjon,Frode Ims,"Frode Ims, Siv Systad, Bjørn Bøthun",
120.0,Holberg 2008,,arkiv,20.06.11,SD,Bergen,Holberg 2008. Fredric R. Jameson,,,Holberg 2008,Fredric R. Jameson,Univisjon,,,
121.0,Marineholmen presentasjon,,arkiv,21.06.11,SD,Bergen,Marineholmen presentasjon,"Siv Systad, Svein Arne Selvik",Marineholmen,Marineholmen,,Univisjon,Frode Ims,Frode Ims,
122.0,Marineholmen presentasjon,,arkiv,21.06.11,SD,Bergen,Pasientsamtaler - Uni helse. -Mediefiler,"Brian Holmedal, Arnt Brandseth, Frode Ims.",Uni helse - Silje Mæland,Pasientsamtaler - Uni helse,Erik L. Werner,"Univisjon, uni helse",,"Vidar Trellevik, Brian Holmedal + uni",
123.0,Språktest 2009,,arkiv,21.06.11,SD,Bergen,Språktest 2009,Brian Holmedal,Norsk språktest,Språktest 2009,,Univisjon,,,
124.0,Vendepunkt - sesong 2,,arkiv,21.06.11,SD,Bergen,"Vendepunkt - sesong 2. PROGRAM 1: ” BARNLØSE FUGLER”. PROGRAM 2: ” RESTART ”. PROGRAM 3: ”UT AV AVHENGIGHETEN”. PROGRAM 4: ”FINNE ROEN”. Tiden vi lever i setter mennesker under press på ulike måter. I de fire siste Vendepunkt- programmene møter vi mennesker som har tatt viktige valg for å få et bedre liv. Noen har gjennomlevd dyptgående kriser før vendepunktet kom – andre har sakte, men sikkert kommet til en erkjennelse om at de må gjøre noe aktivt for å få et godt liv.","May-Britt Skjelvik, Arnt Brandseth",Vendepunkt - sesong 2,Vendepunkt - sesong 2,"Frode Thuen, Evy-Merete og Morten Ellingen, Finn Seldal, Rolf Torodd Olafsen, Helga Mjeldheim, Ann-Britt Aldeman, Maitreya Ishaya (Oliver Seligman),  ",Univisjon,Frode Ims,Frode Ims,
125.0,Jakta på polarstormen,,arkiv,22.06.11,SD,"Bergen, Andøya, Svalbard, Tromsø","Jakta på polarstormen. Vi følger en gruppe forskere som drar til Andøya i Vesterålen for gjennomføre Norgeshistoriens største stormjakt. De ønsker å gjøre vitenskaplige målinger av polare lavtrykk, som aldri har vært gjort før.","Turid Rogne, Astrid Rommetveit",Jakta på polarstormen,Jakta på polarstormen,"Harald Figenschou, Erik Kolstad, Øyvind Sætra, Ivan Føre, Jón Egill Kristjánsson ",Univisjon,Frode Ims,Frode Ims,
126.0,"Den kulturelle bæremeisen, Gruble",,arkiv,28.06.11,SD,"Bergen, Florø",Sparebanken vest. -Den kulturelle bæremeisen. -Gruble 1-filosofi med barn. -Gruble 2,"Arnt Brandseth, Bjørn Bøthun",Sparebanken vest,"bæremeisen, gruble, filosofi",,Univisjon,"Frode Ims, Arnt Brandseth","Frode Ims, Arnt Brandseth",
127.0,CARBOOCEAN - hunting for CO2,,arkiv,28.06.11,SD,"Bergen, Brussel, Svalbard","CARBOOCEAN - hunting for CO2. CarboOcean, et stort internasjonalt EU-prosjekt, ledet fra Universitetet i Bergen, har sett på havets rolle i CO2-regnskapet. Siden 2005 har forskerne gjort målinger, analysert konsekvenser og laget scenarioer for framtiden.  Univisjon har fulgt prosjektet siden starten.",May-Britt Skjelvik,CARBOOCEAN,"Co2, EU, ","Emil Jeansson, Christoph Heinze",Univisjon,Frode Ims,Frode Ims,
128.0,FARGESPILL,,arkiv,28.06.11,SD,Bergen,"FARGESPILL. Univisjon har fulgt prøvene til forestillingen der femti barn og unge, noen av dem helt nyankomne til landet, fikk status som kulturelle bidragsytere i det norske samfunn.",Arnt Brandseth,FARGESPILL,Fargespill,"Ole Hamre, Sissel Saue, Hilde Sol Erdal, Hsa Mu Kar",Univisjon,Frode Ims,Frode Ims,
129.0,Creating Knowledge,,arkiv,28.06.11,SD,Bergen,"Creating Knowledge. September 8, 2010 – September 10, 2010. INFORMATION LITERACY AND DIVERSITY IN HIGHER EDUCATION. Mapping the Learning Environment.",,UB-UiB,Creating Knowledge,,Univisjon,"Frode Ims, Arnt Brandseth","Frode Ims, Arnt Brandseth",
130.0,Forum for vitenskap og demokrati: Forskningsrådets styring av Universitetet,,arkiv,30.06.11,,Bergen,"Forum for vitenskap og demokrati: Forskningsrådets styring av Universitetet. Forum for vitenskap og demokrati inviterer til debattmøte om hvordan forskningen bør styres og hvem som bør styre den, fredag 8 oktober kl 1415-1600 på Det Akademiske Kvarter. 2010",,Forskningsrådet,Forum for vitenskap og demokrati: Forskningsrådets styring av Universitetet,"Arvid Hallén, Hanne Foss Hansen","Univisjon, Forskningsrådet",Frode Ims,Frode Ims,
131.0,Fylkeskommunen.,,arkiv,30.06.11,SD,Bergen,Fylkeskommunen. Oppdragsfilm. Toppledermøte.,Arild Sondre Sekse,Fylkeskommunen.,Fylkeskommunen.,Arild Sondre Sekse,Fylkeskommunen.,"Frode Ims, Arnt Brandseth","Frode Ims, Arnt Brandseth",
132.0,Holbergprisen 2009,,2009.0,30.06.11,,Bergen,Holbergprisen 2009,,Holbergprisen,Holbergprisen 2009,Ian Hacking,UiB,,"Brian Holmedal, Arnt Brandseth",
133.0,Holbergprisen 2010,,2010.0,30.06.11,,Bergen,Holbergprisen 2010,,Holbergprisen,Holbergprisen 2010,Natalie Zemon Davis,UiB,,"Frode Ims, Arnt Brandseth",
134.0,Holbergprisen 2007,,2007.0,30.06.11,,Bergen,Holbergprisen 2007,,Holbergprisen,Holbergprisen 2007,Ronald Dworkin,UiB,,"Siv Systad, Brian Holmedal",
135.0,Roger Strand,,2010.0,30.06.11,,Bergen,Opptak av samtale med Roger Strand til konferanse.,,HF,Roger Strand,Roger Strand,UiB,,"Frode Ims, Arnt Brandseth",
136.0,[Uten tittel],,2010.0,30.06.11,,Hardanger,Dokumentasjonsfilming av NERA sine nettverksløsninger i Hardanger.,"NERA, Frode Ims",NERA,NERA,,"NERA, Univisjon",Frode Ims,Frode Ims,
137.0,[Uten tittel],,,01.07.11,,Bergen,"Foredrag fra Forskningsdagene 2010. Vil global oppvarming føre til mer malaria i Afrika og Europa? Bernt Lindtjørn, professor ved Senter for internasjonal helse ved Universitetet i Bergen. Inkludering i flerkulturelle lokalsamfunn. Jill Loga, seniorforsker ved Uni Rokkansenteret. Tobis. Engelsk, den nye folkesykdommen.",,Forskningsdagene,Forskningsdagene 2010,,,,"Frode Ims, Arnt Brandseth",
138.0,Pasientsamtaler,,,01.07.11,,Bergen,NFR-prosjekt. Pasientsamtaler. Sykemelding,,,Pasientsamtaler,Silje Mæland,Uni-Helse,,"Brian Holmedal, Vidar Trellevik",
139.0,Norsk språktest 2007,,2007.0,01.07.11,,Bergen,Norsk språktest 2007,Brian Holmedal,Norsk språktest,Norsk språktest,,,,,
140.0,Norsk språktest 2009,,2009.0,01.07.11,,Bergen,Norsk språktest 2009,Brian Holmedal,Norsk språktest,Norsk språktest,,,,,
141.0,En oppskrift på fattigdom ,,2011.0,01.07.11,,"Bergen, Kenya","En oppskrift på fattigdom. Norgeshistoriens dyreste bistandsprosjekt, en fiskefabrikk i Nord-Kenya, var en fiasko. Fabrikken har aldri blitt brukt, og lokalbefolkningen har fått store problemer. ",May-Britt Skjelvik,UD,En oppskrift på fattigdom (rettet),Vigdis Broch-Due,Univisjon,,Frilanser + Frode Ims,
142.0,Vendepunkt - sesong 2 ,,2008.0,01.07.11,,"Bergen, Tønsberg, Hamar, Stockholm, Oslo, Sokndal",Vendepunkt - sesong 2. PROGRAM 1: ” BARNLØSE FUGLER”. PROGRAM 2: ” RESTART ”. PROGRAM 3: ”UT AV AVHENGIGHETEN”. PROGRAM 4: ”FINNE ROEN”.,"Arnt Brandseth, May-Britt Skjelvik ",,Vendepunkt,"Maitreya Ishaya, Camilla Fredriksen, Frode Thuen, Rolf Torodd Olafsen, Ann-Britt Aldeman, Helga Mjeldheim, Sophie Nyrerød, Finn Seldal, Evy-Merete og Morten Ellingen",,,"Frode Ims, Arnt Brandseth",
143.0,Verktøykassen,,2010.0,01.07.11,,Bergen,Verktøykassen. Varsomt atomblikk. Høytsvevende forskning. Kamera som arbeidskamerat. Tavlen - en moderne klassiker,"Arnt Brandseth, Olav Røli, Frode Ims",,Verktøykassen,"Bodil Holst, Joachim Reuder, Frode Storaas, Jan Martin Nordbotten",,Frode Ims,Frode Ims,
144.0,Dig UiB (MAM) pilot,,2010.0,04.07.11,,Bergen,Dig UiB (MAM) pilot,Frode Ims,,Dig UiB (MAM) pilot,,UiB,Frode Ims,"Frode Ims, Arnt Brandseth",
145.0,Holbergprisen 2007,,2007.0,05.07.11,,New York,Intervju med prisvinner Ronald Dworkin. Råstoff,Svein Arne Selvik,Holbergprisen,Holbergprisen 2007,Ronald Dworkin,Holbergprisen,Siv Systad,Siv Systad,
146.0,"Vendepunkt, sesong 2",,2007.0,05.07.11,,London,Vendepunkt sesong 2. Råstoff fra London,Arnt Brandseth,,Råstoff Vendepunkt sesong 2,"Oliver Seligman, Maitreya Ishaya",Univisjon,Frode Ims,Frode Ims,
147.0,[Uten tittel],,2007.0,01.08.11,,Vil vite senteret,Åpning Vil Vite senteret. Råstoff,,,Åpning Vil Vite senteret,,Univisjon,Arnt Brandseth,Arnt Brandseth,
148.0,[Uten tittel],,2007.0,01.08.11,,Bergen,Helikopteropptak Marineholmen,Arnt Brandseth,Marineholmen,Helikopteropptak Marineholmen,,Univisjon,,Alligator v Njål,
149.0,[Uten tittel],,2007.0,01.08.11,,Bergen,Marineholmen DVD,,Marineholmen,Marineholmen DVD,,Univisjon,,,
150.0,Æresdoktorer 2011,,2011.0,28.09.11,,Håkonshallen,"Æresdoktorer 2011. Under doktorpromosjonen fredag 26. august blir Gudmund Hernes og Arne Skauge utnevnt til æresdoktorer. De har en felles fortid som statsråder i ulike regjeringer og begge har vært med på å utvikle UiB til hva det er i dag. Tale: Simon Dankel, Sigmund Grønmo, Gudmund Hernes",May-Britt Skjelvik,UiB,Æresdoktor,"Gudmund Hernes, Arne Skauge",,Frode Ims,Frode Ims,
151.0,Akademisk skriving,,2008.0,28.09.11,,Bergen,Akademisk skriving,Brian Holmedal,,Akademisk skriving,Bjørn Wormnes,,,,
152.0,Brian mac-backup,,2010.0,28.09.11,,,Brian mac-backup,,,Brian mac-backup,Brian Holmedal,,,,
153.0,Fargespill,,2010.0,28.09.11,,Bergen,Fargespill. - omredigert versjon,Arnt Brandseth,Fargespill,Fargespill,,"Fargespill, Univisjon","Frode Ims, Arnt Brandseth","Frode Ims, Arnt Brandseth",
154.0,Fiskeri og kysthistorie,,2010.0,28.09.11,,Bergen,"Fiskeri og kysthistorie. -PILOT. -råstoff av skjærgård, Bergen.",Arnt Brandseth,,Fiskeri og kysthistorie,,Univisjon,Frode Ims,Frode Ims,
155.0,Formidlingsseminar for Lærum,,2010.0,28.09.11,,Bergen,Formidlingsseminar for Lærum,"Arnt Brandseth, May-Britt Skjelvik",,Formidlingsseminar for Lærum,May-Britt Skjelvik,Univisjon,Arnt Brandseth,Arnt Brandseth,
156.0,Grottemannen,,2002.0,28.09.11,,,Grottemannen DVD. Professor Stein-Erik Lauritzen bruker grottenes dryppsteiner som historiens dagbok over hvordan klimaet har utviklet seg på jorda. Gjennom sin forskning ønsker Lauritzen å teste påstanden om at de menneskeskapte klimaendringene er større enn de naturlige svingningene. ,Nils Arne Sæbø,,Grottemannen DVD,Stein-Erik Lauritzen,Univisjon,Nils Arne Sæbø,Nils Arne Sæbø,
157.0,Holbergprisen 2011,,2011.0,28.09.11,,Bergen,"Holbergprisen 2011. H. K. H. Kronprins Haakon overrakte  Holbergprisen til Jürgen Kocka. Statsråd Tora Aasland overrakte Nils Klim-prisen til Jørn Jakobsen. Holbergprisens symposium 2011: ""Civil Society and the Welfare State: Competitors or allies?""",Frode Ims,Holbergprisen,Holbergprisen 2011,"Jürgen Kocka, Jørn Jakobsen, Theda Skocpol, Christoph Conrad, Per Selle, Simone Lässig, Stein Kuhnle","Holbergprisen, Univisjon",Frode Ims,Frode Ims,
158.0,I full blomst,,2011.0,28.09.11,,Aboretet på Milde,Helt siden starten i 1971 har Arboretet satset på rhododendron. De har nå nordens største rhododendronsamling. ,Frode Ims,,"Aboretet på Milde, rhododendron",,UiB,Frode Ims,Frode Ims,
159.0,Nils Klim Prisen 2011,,2011.0,28.09.11,,Bergen,Nils Klim Prisen 2011. Jørn Jacobsen ved Det juridiske fakultet er tildelt årets Nils Klim-pris. Hans forskningsfelt er strafferett og rettsteori. Prisoverrekkelsen vil forgå i Håkonshallen den 8. juni. ,Arnt Brandseth,Holbergprisen,Nils Klim Prisen 2011,Jørn Jakobsen,UiB,Frode Ims,Frode Ims,
160.0,Gade,,2010.0,28.09.11,,,Diverse materiale samlet av Ole Didrik Lærum. Digitalisert fra DVDer og DV-kassetter,,Gades,"Ole Didrik Lærum, Gade, Erik Waaler, Magnus Haaland, Tuberkuloseutstilling",,Ole Didrik Lærum/Gade,,,
161.0,[Uten tittel],,2011.0,28.09.11,,Bergen,Semesterstart 2011. -enquete. -taler,,,Semesterstart 2011,,,,,
162.0,Skuggestrand,,2008.0,28.09.11,,,Skuggestrand. Portrett Hilde Kvalvåg,,,Portrett Hilde Kvalvåg,Hilde Kvalvåg,Hilde Kvalvåg,,Elin Styve,
163.0,Eneste av sitt slag,,2011.0,28.09.11,,Bergen,"Eneste av sitt slag. De har jobbet sammen i over femti år, Arvid Erdal og Van de Graaff-generatoren. Den dagen Erdal gir seg er det ingen til å ta over hans plass, og Van de Graaffen blir museumsgjenstand. ","Jens Helleland Ådnanes, Frode Ims",,"Van de Graff generator, ",Arvid Erdal ,UiB,Frode Ims,Frode Ims,
164.0,"Forskningsdagane 2011, Alternativer til dyreforsøk",,2011.0,09.11.11,,Bergen,"Forskningsdagane 2011. Alternativer til dyreforsøk. Selv om forsøksdyr fremdeles er viktig i jakten på kreftgåten og løsning av andre medisinske utfordringer, finnes det ofte andre gode alternativer. Forskerne ved Alternativlaben ved Universitetet i Bergen viste under Forskningsdagene dyremodeller og andre metoder som brukes som alternativer til dyreforsøk i forskningen. ",Arnt Brandseth,,"Forskningsdagane 2011, Alternativlaben, forsøksdyr",Arvid Erdal ,UiB,Frode Ims,Frode Ims,
165.0,Studentbyen,,2011.0,09.11.11,,Bergen,Studentbyen. Engasjerte studenter er en forutsetning for å være et godt forskningsuniversitet. Slike studenter har vi ved UiB. Her finnes en studentforening for alle interesser. ,Arnt Brandseth,,Studentbyen,,UiB,Frode Ims,Frode Ims,
166.0,Studer ved UiB,,2011.0,09.11.11,,Bergen,Studer ved UiB. Det er mange gode grunner til å søke studieplass ved UiB. Flere undersøkelser viser at våre studenter trives og lykkes i studiene. Dessuten er Bergen en helt spesiell by. Søknadsfrist 15. april ,May-Britt Skjelvik,,"Søknadsfrist, Studer ved UiB",,UiB,Frode Ims,Frode Ims,
167.0,Interplay of grief,,2011.0,06.02.12,,Bergen,"Interplay of grief. Interaction with the world outside is essential for a progressive university. Students at The Grieg Academy, part of the University of Bergen, have worked with some of the foremost Nordic practitioners in contemporary music to create a requiem for the ages.",May-Britt Skjelvik,Griegakademiet,"The Grieg Academy, UiB, University of Bergen, contemporary music, Student, BIT20 Ensemble, Baldur Brönnimann, Hans Werner Henze, Requiem","Baldur Brönnimann, Hans Werner Henze",UiB,Frode Ims,Frode Ims,
168.0,Biologisk kunst,,2011.0,06.02.12,HD,Bergen,"Biologisk kunst. I møtet mellom kunst og vitenskap kan det oppstå mye spennende. Masterstudenter fra Institutt for biologi legger fram forskningsresultatene sine på en utradisjonell måte. Godt hjulpet av Carte Blanche, Norges nasjonale kompani for samtidsdans, som ikke bare danser…",Arnt Brandseth,UiB,"Universitetet i Bergen, Carte Blanch, masterstudenter, forskning, vannkvalitet, performance, lyd, soundscape, Surdej Music Production, Institutt for biologi, Maria Rye  Michelsen, Edhem Jesenkovic, Karin Pittman, Håvard Pedersen","Maria Rye  Michelsen, Edhem Jesenkovic, Karin Pittman, Håvard Pedersen",UiB,Frode Ims,Frode Ims,
169.0,UiB i verden - Internasjonal student 2012,,2012.0,06.02.12,HD,Bergen,UiB i verden - Internasjonal student 2012. Hvert år drar rundt 600 studenter ved UiB på utveksling. Møt David som dro til Japan og fikk både venner og minner for livet. Mandag 16. januar kl. 14.15 åpner UiBs Internasjonale uke 2012.,May-Britt Skjelvik,UiB,"UiB, Universitetet I Bergen, Japan, utveksling, studenter, venner, minner, David Yttervik Seetiangtham",David Yttervik Seetiangtham,UiB,Frode Ims,Frode Ims,
170.0,NRF- pasientsamtaler,,2012.0,06.02.12,SD,Bergen,NRF- pasientsamtaler. Nedklipp 2012,Silje Mæland,UiB,Pasientsamtaler,Silje Mæland,UNI-helse,Uni,Uni,
171.0,Ny teknologi,,2011.0,06.02.12,HD,Bergen,"Ny teknologi. All teknologi kan forbedres. Tverrfaglig forskning skal gjøre bildene av kroppens indre enda bedre - og dermed gi sikrere diagnoser. PET, MR, CT, skanner, scanner, Renate Grüner, Inst. for fysikk og teknologi, Haukeland Universitetssykehus",Arnt Brandseth,UiB,"PET, MR, CT, skanner, scanner, Renate Grüner, Inst. for fysikk og teknologi, Haukeland Universitetssykehus",Renate Grüner,UiB,Frode Ims,Frode Ims,
172.0,The world of UiB - Studiestart 2012,,2012.0,06.02.12,HD,Bergen,"The world of UiB - Studiestart 2012. Every year close to 1,000 new international students arrive in Bergen. Most arrive in the autumn, but about 250 arrive for the spring semester. Meet some of them in this video. On 5 January 2012, around 200 new international students were gathered at Studentsenteret (the Student Centre) in the heart of Bergen to get information before starting their studies at the University of Bergen (UiB). People from all over the world have discovered the unique resources at this internationally recognised university with more than 160 different study programmes to choose from. Many of the newly arrived students are also drawn by the promise of nature and the fjords on the West coast of Norway. International students Bergen, University of Bergen, UiB, internationally, recognised, university, new semester, studying abroad, study in Norway, study in Bergen, research university, international",Sverre Ole Drønen,UiB,"International students Bergen, University of Bergen, UiB, internationally, recognised, university, new semester, studying abroad, study in Norway, study in Bergen, research university, international",,UiB,Frode Ims,Frode Ims,
